optS0 = -1603.15503365
tdS0  = -1603.06537894
optS1 = -1603.0746096
optR1 = -1603.06827809

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D30   D(22,4,5,12)       -0.1137       -2.0486       -2.4602
 D31   D(1,5,12,11)      179.0692     -179.8218     -154.5065
 D32   D(1,5,12,13)       -0.1382        3.6299       29.6634
 D33   D(4,5,12,11)       -1.0226        1.7865       33.9775
 D34   D(4,5,12,13)      179.7699     -174.7617     -141.8527
 D35    D(11,6,7,8)       -0.7455       -0.1298        0.8833
 D36   D(11,6,7,24)      179.1374      179.4082     -179.9073
 D37    D(23,6,7,8)     -179.2048     -178.8768     -176.8727
 D38   D(23,6,7,24)        0.6781        0.6612        2.3366
 D39   D(7,6,11,10)        0.5268        0.4181       -3.3786
 D40   D(7,6,11,12)     -179.7212      179.8248     -179.6114
 D41  D(23,6,11,10)      178.9965      179.1731      174.3404
 D42  D(23,6,11,12)       -1.2515       -1.4202       -1.8924
 D43     D(6,7,8,9)        0.2711       -0.1899        1.7515
 D44    D(6,7,8,25)     -179.6631      179.9721     -179.8255
 D45    D(24,7,8,9)     -179.6112     -179.7254     -177.4503
 D46   D(24,7,8,25)        0.4546        0.4366        0.9727
 D47    D(7,8,9,10)        0.4219        0.2124       -1.7559
 D48    D(7,8,9,26)     -179.3786     -179.1526      177.4651
 D49   D(25,8,9,10)     -179.6439     -179.9496      179.8211
 D50   D(25,8,9,26)        0.5556        0.6854       -0.9579
 D51   D(8,9,10,11)       -0.6381        0.0847       -0.8746
 D52   D(8,9,10,27)     -178.8914     -178.0868      176.8953
 D53  D(26,9,10,11)      179.1635      179.4531      179.8971
 D54  D(26,9,10,27)        0.9102        1.2817       -2.3330
 D55   D(9,10,11,6)        0.1641       -0.3955        3.3742
 D56  D(9,10,11,12)     -179.5870     -179.7964      179.6050
 D57  D(27,10,11,6)      178.4275      177.7811     -174.3589
 D58 D(27,10,11,12)       -1.3236       -1.6198        1.8719
 D59   D(6,11,12,5)      128.4141      134.7241     -179.8792
 D60  D(6,11,12,13)      -52.3781      -48.7855       -4.4393
 D61  D(10,11,12,5)      -51.8364      -45.8872        4.0744
 D62 D(10,11,12,13)      127.3713      130.6032      179.5143
 D63  D(5,12,13,14)      173.0692      168.9361      141.8509
 D64  D(5,12,13,17)       -1.5926       -5.2068      -29.5978
 D65 D(11,12,13,14)       -6.1422       -7.6613      -33.9821
 D66 D(11,12,13,17)      179.1959      178.1957      154.5692
 D67 D(12,13,14,15)     -175.5338     -174.2349     -172.4867
 D68 D(12,13,14,28)        2.0626        2.6302        2.3921
 D69 D(17,13,14,15)       -0.3396        0.4985       -0.2697
 D70 D(17,13,14,28)      177.2569      177.3636      174.6091
 D71 D(12,13,17,16)      176.0012      174.7441      173.6552
 D72 D(12,13,17,19)       -5.2951       -8.9292       -6.5827
 D73 D(14,13,17,16)        0.2327       -0.6333        0.1864
 D74 D(14,13,17,19)      178.9364      175.6934      179.9485
 D75 D(13,14,15,16)        0.3089       -0.1935        0.2505
 D76 D(13,14,15,40)      179.9912      179.5158     -179.5206
 D77 D(28,14,15,16)     -177.2196     -176.9630     -174.5846
 D78 D(28,14,15,40)        2.4628        2.7463        5.6443
 D79 D(14,15,16,17)       -0.1732       -0.2022       -0.1383
 D80 D(14,15,16,29)     -179.6833     -179.4634     -178.9331
 D81 D(40,15,16,17)     -179.8634     -179.9207      179.6392
 D82 D(40,15,16,29)        0.6264        0.8181        0.8444
 D83 D(14,15,40,41)       19.7213        5.2763        6.0700
 D84 D(14,15,40,42)     -160.1584     -174.5827     -173.7172
 D85 D(16,15,40,41)     -160.6575     -175.0682     -173.6581
 D86 D(16,15,40,42)       19.4628        5.0727        6.5547
 D87 D(15,16,17,13)       -0.0375        0.5174       -0.0286
 D88 D(15,16,17,19)     -178.7371     -175.8028     -179.7749
 D89 D(29,16,17,13)      179.5214      179.8588      178.9028
 D90 D(29,16,17,19)        0.8218        3.5386       -0.8436
 D91  D(13,17,19,1)       11.5011       20.5693       37.2256
 D92 D(13,17,19,18)      131.2096      140.2724      155.4295
 D93 D(13,17,19,20)     -106.9616      -98.2930      -80.8168
 D94  D(16,17,19,1)     -170.0196     -163.7093     -143.0587
 D95 D(16,17,19,18)      -50.3111      -44.0062      -24.8548
 D96 D(16,17,19,20)       71.5177       77.4284       98.8989
 D97  D(3,30,31,33)      179.8567      179.8952      179.7374
 D98  D(3,30,31,36)       -0.9966       -0.4058       -0.6827
 D99 D(32,30,31,33)       -0.0759        0.0533       -0.1365
D100 D(32,30,31,36)      179.0708      179.7523      179.4434
D101  D(3,30,32,34)      179.9118     -179.8583     -179.7431
D102  D(3,30,32,37)       -1.0181       -0.3703       -0.1511
D103 D(31,30,32,34)       -0.1559       -0.0176        0.1302
D104 D(31,30,32,37)      178.9142      179.4704      179.7221
D105 D(30,31,33,35)        0.2234       -0.0509        0.0646
D106 D(30,31,33,38)      179.7551      179.8903      179.8790
D107 D(36,31,33,35)     -178.9304     -179.7523     -179.5188
D108 D(36,31,33,38)        0.6013        0.1890        0.2956
D109 D(30,32,34,35)        0.2380       -0.0201       -0.0511
D110 D(30,32,34,39)      179.8253      179.8403      179.8652
D111 D(37,32,34,35)     -178.8468     -179.5165     -179.6498
