optS0 = -1603.15439809
tdS0  = -1603.06434903
optS1 = -1603.07368016
optR1 = -1603.06742197

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A97    A(50,51,54)      111.1877      110.9821      110.9930
 A98    A(52,51,53)      109.4730      109.6325      109.6112
 A99    A(52,51,54)      109.4878      109.6312      109.6216
A100    A(53,51,54)      109.3095      109.5737      109.5622
A101    A(45,55,56)      117.3254      117.7928      117.7323
A102    A(55,56,57)      106.1363      105.9730      105.9971
A103    A(55,56,58)      111.1868      110.9791      110.9928
A104    A(55,56,59)      111.1899      110.9782      110.9965
A105    A(57,56,58)      109.4855      109.6296      109.6245
A106    A(57,56,59)      109.4717      109.6326      109.6165
A107    A(58,56,59)      109.3090      109.5820      109.5486
  D1     D(5,1,2,3)        0.0157       -0.7073        0.0472
  D2    D(5,1,2,21)     -178.4248     -178.8204     -179.0188
  D3    D(19,1,2,3)      171.5245      169.6557      179.8896
  D4   D(19,1,2,21)       -6.9160       -8.4573        0.8236
  D5     D(2,1,5,4)        0.4809        1.3216       -0.2369
  D6    D(2,1,5,12)     -179.5708     -177.4200     -173.7023
  D7    D(19,1,5,4)     -171.0222     -168.9568      179.9109
  D8   D(19,1,5,12)        8.9262       12.3017        6.4456
  D9   D(2,1,19,17)      176.5636      168.9133      142.9806
 D10   D(2,1,19,18)       57.0966       49.2954       24.8358
 D11   D(2,1,19,20)      -64.7149      -72.0570      -98.9454
 D12   D(5,1,19,17)      -13.3662      -22.3236      -37.1961
 D13   D(5,1,19,18)     -132.8332     -141.9414     -155.3409
 D14   D(5,1,19,20)      105.3553       96.7062       80.8780
 D15     D(1,2,3,4)       -0.5073       -0.1728        0.1583
 D16    D(1,2,3,30)     -179.9585     -179.6774     -179.6030
 D17    D(21,2,3,4)      177.7624      177.7113      179.1043
 D18   D(21,2,3,30)       -1.6887       -1.7933       -0.6570
 D19     D(2,3,4,5)        0.7822        0.9834       -0.3013
 D20    D(2,3,4,22)     -179.8411     -179.8230      174.7154
 D21    D(30,3,4,5)     -179.7820     -179.5280      179.4529
 D22   D(30,3,4,22)       -0.4053       -0.3345       -5.5304
 D23   D(2,3,30,31)      160.3370      174.6380      175.0971
 D24   D(2,3,30,32)      -19.7342       -5.5212       -5.0344
