optS0 = -1603.15431279
tdS0  = -1603.06429958
optS1 = -1603.07368808
optR1 = -1603.06736286

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A85    A(41,43,45)      119.5866      119.5359      119.5589
 A86    A(41,43,48)      119.2046      119.3378      119.3131
 A87    A(45,43,48)      121.2069      121.1262      121.1277
 A88    A(42,44,45)      120.3690      120.3447      120.3421
 A89    A(42,44,49)      121.1790      121.3220      121.3068
 A90    A(45,44,49)      118.4506      118.3331      118.3510
 A91    A(43,45,44)      119.3656      119.5178      119.4892
 A92    A(43,45,55)      124.5938      124.5530      124.5510
 A93    A(44,45,55)      116.0406      115.9292      115.9598
 A94    A(35,50,51)      117.3348      117.8068      117.7380
 A95    A(50,51,52)      106.1323      105.9727      105.9906
 A96    A(50,51,53)      111.1925      110.9715      111.0003
 A97    A(50,51,54)      111.1938      110.9798      110.9907
 A98    A(52,51,53)      109.4714      109.6275      109.6126
 A99    A(52,51,54)      109.4863      109.6356      109.6270
A100    A(53,51,54)      109.3029      109.5873      109.5543
A101    A(45,55,56)      117.3304      117.8109      117.7379
A102    A(55,56,57)      106.1323      105.9696      105.9906
A103    A(55,56,58)      111.1974      110.9799      110.9904
A104    A(55,56,59)      111.1924      110.9682      111.0002
A105    A(57,56,58)      109.4820      109.6387      109.6272
A106    A(57,56,59)      109.4703      109.6276      109.6127
A107    A(58,56,59)      109.3046      109.5902      109.5544
  D1     D(5,1,2,3)       -0.0057       -0.7100        0.0562
  D2    D(5,1,2,21)     -178.4608     -178.8359     -179.0588
  D3    D(19,1,2,3)      171.5724      169.6348     -179.9803
  D4   D(19,1,2,21)       -6.8827       -8.4911        0.9048
  D5     D(2,1,5,4)        0.4757        1.3092       -0.2413
  D6    D(2,1,5,12)     -179.5813     -177.4691     -173.6290
  D7    D(19,1,5,4)     -171.0935     -168.9506      179.7929
  D8   D(19,1,5,12)        8.8495       12.2710        6.4052
  D9   D(2,1,19,17)      176.6453      169.0063      142.9165
 D10   D(2,1,19,18)       57.1807       49.3779       24.8130
 D11   D(2,1,19,20)      -64.6268      -71.9736      -98.9964
 D12   D(5,1,19,17)      -13.2064      -22.2536      -37.1244
 D13   D(5,1,19,18)     -132.6710     -141.8821     -155.2279
 D14   D(5,1,19,20)      105.5214       96.7664       80.9628
 D15     D(1,2,3,4)       -0.4678       -0.1559        0.1483
 D16    D(1,2,3,30)     -179.8597     -179.6010     -179.6650
 D17    D(21,2,3,4)      177.8177      177.7431      179.1496
 D18   D(21,2,3,30)       -1.5741       -1.7020       -0.6636
 D19     D(2,3,4,5)        0.7411        0.9593       -0.2942
 D20    D(2,3,4,22)     -179.8984     -179.8164      174.7082
 D21    D(30,3,4,5)     -179.8851     -179.6141      179.5133
 D22   D(30,3,4,22)       -0.5246       -0.3899       -5.4843
 D23   D(2,3,30,31)      160.0281      174.7427      175.3332
 D24   D(2,3,30,32)      -20.0094       -5.3602       -4.8132
 D25   D(4,3,30,31)      -19.2265       -4.5777       -4.4383
 D26   D(4,3,30,32)      160.7359      175.3193      175.4153
 D27     D(3,4,5,1)       -0.7654       -1.3885        0.3299
 D28    D(3,4,5,12)      179.2998      177.1982      172.4522
 D29    D(22,4,5,1)      179.8580      179.3697     -174.7208
 D30   D(22,4,5,12)       -0.0769       -2.0435       -2.5985
 D31   D(1,5,12,11)      179.0554     -179.8347     -154.4385
 D32   D(1,5,12,13)       -0.1654        3.5701       29.7683
 D33   D(4,5,12,11)       -1.0168        1.7298       34.2135
 D34   D(4,5,12,13)      179.7623     -174.8653     -141.5796
 D35    D(11,6,7,8)       -0.7463       -0.1386        0.8700
 D36   D(11,6,7,24)      179.1337      179.3930     -179.9217
 D37    D(23,6,7,8)     -179.2072     -178.8617     -176.8650
 D38   D(23,6,7,24)        0.6727        0.6699        2.3433
 D39   D(7,6,11,10)        0.5264        0.4204       -3.3362
 D40   D(7,6,11,12)     -179.7213      179.8312     -179.5867
 D41  D(23,6,11,10)      178.9981      179.1520      174.3627
 D42  D(23,6,11,12)       -1.2497       -1.4372       -1.8878
 D43     D(6,7,8,9)        0.2718       -0.1840        1.7289
 D44    D(6,7,8,25)     -179.6628      179.9768     -179.8537
 D45    D(24,7,8,9)     -179.6075     -179.7131     -177.4720
 D46   D(24,7,8,25)        0.4580        0.4477        0.9454
 D47    D(7,8,9,10)        0.4223        0.2157       -1.7287
 D48    D(7,8,9,26)     -179.3769     -179.1454      177.4726
 D49   D(25,8,9,10)     -179.6432     -179.9451      179.8539
 D50   D(25,8,9,26)        0.5577        0.6938       -0.9448
 D51   D(8,9,10,11)       -0.6396        0.0749       -0.8703
 D52   D(8,9,10,27)     -178.8945     -178.0789      176.8662
 D53  D(26,9,10,11)      179.1606      179.4395      179.9209
 D54  D(26,9,10,27)        0.9057        1.2857       -2.3426
 D55   D(9,10,11,6)        0.1655       -0.3885        3.3363
 D56  D(9,10,11,12)     -179.5858     -179.7937      179.5866
 D57  D(27,10,11,6)      178.4308      177.7708     -174.3640
 D58 D(27,10,11,12)       -1.3206       -1.6343        1.8863
 D59   D(6,11,12,5)      128.3424      134.7118     -179.6780
 D60  D(6,11,12,13)      -52.4363      -48.7504       -4.2831
 D61  D(10,11,12,5)      -51.9078      -45.8952        4.2549
 D62 D(10,11,12,13)      127.3134      130.6425      179.6498
 D63  D(5,12,13,14)      173.0817      168.9975      141.5785
 D64  D(5,12,13,17)       -1.5589       -5.1366      -29.7703
 D65 D(11,12,13,14)       -6.1430       -7.6457      -34.2149
 D66 D(11,12,13,17)      179.2164      178.2201      154.4363
 D67 D(12,13,14,15)     -175.5396     -174.2483     -172.4549
 D68 D(12,13,14,28)        2.0094        2.5705        2.6034
 D69 D(17,13,14,15)       -0.3650        0.4767       -0.3316
 D70 D(17,13,14,28)      177.1840      177.2955      174.7267
 D71 D(12,13,17,16)      175.9856      174.7398      173.6305
 D72 D(12,13,17,19)       -5.2699       -8.9677       -6.4019
 D73 D(14,13,17,16)        0.2342       -0.6291        0.2425
 D74 D(14,13,17,19)      178.9786      175.6634     -179.7899
 D75 D(13,14,15,16)        0.3466       -0.1633        0.2957
 D76 D(13,14,15,40)     -179.9158      179.6334     -179.5097
 D77 D(28,14,15,16)     -177.1348     -176.8855     -174.7141
 D78 D(28,14,15,40)        2.6028        2.9112        5.4806
 D79 D(14,15,16,17)       -0.2115       -0.2305       -0.1491
 D80 D(14,15,16,29)     -179.7228     -179.4540     -179.1539
 D81 D(40,15,16,17)     -179.9560      179.9662      179.6621
 D82 D(40,15,16,29)        0.5326        0.7428        0.6573
 D83 D(14,15,40,41)       20.3326        5.4429        4.4054
 D84 D(14,15,40,42)     -159.5700     -174.4746     -175.4506
 D85 D(16,15,40,41)     -159.9800     -174.7980     -175.3635
 D86 D(16,15,40,42)       20.1173        5.2845        4.7805
 D87 D(15,16,17,13)       -0.0146        0.5325       -0.0564
 D88 D(15,16,17,19)     -178.7556     -175.7552      179.9782
 D89 D(29,16,17,13)      179.5455      179.8403      179.0616
 D90 D(29,16,17,19)        0.8045        3.5526       -0.9038
 D91  D(13,17,19,1)       11.4215       20.5578       37.1221
 D92 D(13,17,19,18)      131.0984      140.2341      155.2256
 D93 D(13,17,19,20)     -107.0211      -98.2844      -80.9651
 D94  D(16,17,19,1)     -170.0512     -163.7600     -142.9167
 D95 D(16,17,19,18)      -50.3743      -44.0837      -24.8132
 D96 D(16,17,19,20)       71.5062       77.3978       98.9962
 D97  D(3,30,31,33)      179.8693      179.9712      179.6655
 D98  D(3,30,31,36)       -1.0357       -0.3563       -0.7541
 D99 D(32,30,31,33)       -0.0944        0.0701       -0.1935
D100 D(32,30,31,36)      179.0006      179.7426      179.3869
