optS0 = -1603.15231614
tdS0  = -1603.06256775
optS1 = -1603.07083328
optR1 = -1603.0647392

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  D2    D(5,1,2,21)     -178.4239     -178.7775     -179.0537
  D3    D(19,1,2,3)      171.4605      169.4758     -179.8382
  D4   D(19,1,2,21)       -6.9572       -8.5570        1.0849
  D5     D(2,1,5,4)        0.4788        1.3472       -0.2107
  D6    D(2,1,5,12)     -179.4861     -177.4049     -173.4167
  D7    D(19,1,5,4)     -170.9779     -168.7754      179.6591
  D8   D(19,1,5,12)        9.0571       12.4725        6.4532
  D9   D(2,1,19,17)      176.3869      168.9095      142.5555
 D10   D(2,1,19,18)       57.0014       49.3979       24.6186
 D11   D(2,1,19,20)      -64.9827      -72.1120      -99.3868
 D12   D(5,1,19,17)      -13.5945      -22.4990      -37.2890
 D13   D(5,1,19,18)     -132.9800     -142.0106     -155.2259
 D14   D(5,1,19,20)      105.0359       96.4795       80.7687
 D15     D(1,2,3,4)       -0.4702       -0.1376        0.1703
 D16    D(1,2,3,30)     -179.8659     -179.5259     -179.6024
 D17    D(21,2,3,4)      177.7733      177.6543      179.1276
 D18   D(21,2,3,30)       -1.6224       -1.7340       -0.6452
 D19     D(2,3,4,5)        0.7451        0.9648       -0.2967
 D20    D(2,3,4,22)     -179.9420     -179.7700      174.6653
 D21    D(30,3,4,5)     -179.8774     -179.6667      179.4691
 D22   D(30,3,4,22)       -0.5645       -0.4015       -5.5688
 D23   D(2,3,30,31)      159.3700      174.4146      175.1858
 D24   D(2,3,30,32)      -20.6695       -5.6738       -4.9663
 D25   D(4,3,30,31)      -19.8892       -4.8367       -4.5362
 D26   D(4,3,30,32)      160.0714      175.0749      175.3118
 D27     D(3,4,5,1)       -0.7699       -1.4142        0.3136
 D28    D(3,4,5,12)      179.1900      177.1423      172.2263
 D29    D(22,4,5,1)      179.9000      179.3040     -174.7012
 D30   D(22,4,5,12)       -0.1401       -2.1394       -2.7885
 D31   D(1,5,12,11)      179.0617     -179.8555     -154.3262
 D32   D(1,5,12,13)       -0.1256        3.5612       29.8851
 D33   D(4,5,12,11)       -0.8939        1.7425       34.5552
 D34   D(4,5,12,13)      179.9188     -174.8409     -141.2336
 D35    D(11,6,7,8)       -0.7411       -0.1567        0.8824
 D36   D(11,6,7,24)      179.1331      179.3543     -179.9455
 D37    D(23,6,7,8)     -179.2210     -178.8186     -176.8141
 D38   D(23,6,7,24)        0.6532        0.6924        2.3581
 D39   D(7,6,11,10)        0.5264        0.4361       -3.3798
 D40   D(7,6,11,12)     -179.7270      179.8387     -179.6974
 D41  D(23,6,11,10)      179.0178      179.1076      174.2825
 D42  D(23,6,11,12)       -1.2356       -1.4898       -2.0351
 D43     D(6,7,8,9)        0.2681       -0.1797        1.7493
 D44    D(6,7,8,25)     -179.6656      179.9815     -179.8746
 D45    D(24,7,8,9)     -179.6054     -179.6881     -177.4154
 D46   D(24,7,8,25)        0.4609        0.4731        0.9607
 D47    D(7,8,9,10)        0.4191        0.2272       -1.7491
 D48    D(7,8,9,26)     -179.3733     -179.1149      177.4160
 D49   D(25,8,9,10)     -179.6472     -179.9339      179.8748
 D50   D(25,8,9,26)        0.5603        0.7239       -0.9601
 D51   D(8,9,10,11)       -0.6313        0.0611       -0.8827
 D52   D(8,9,10,27)     -178.9059     -178.0256      176.8152
 D53  D(26,9,10,11)      179.1623      179.4068      179.9447
 D54  D(26,9,10,27)        0.8876        1.3202       -2.3575
 D55   D(9,10,11,6)        0.1588       -0.3883        3.3800
 D56  D(9,10,11,12)     -179.5869     -179.7851      179.6974
 D57  D(27,10,11,6)      178.4446      177.7052     -174.2837
 D58 D(27,10,11,12)       -1.3011       -1.6916        2.0337
 D59   D(6,11,12,5)      128.1531      134.8844     -179.6363
 D60  D(6,11,12,13)      -52.6586      -48.5913       -4.2515
 D61  D(10,11,12,5)      -52.1029      -45.7313        4.2255
 D62 D(10,11,12,13)      127.0854      130.7930      179.6104
 D63  D(5,12,13,14)      172.9702      168.7976      141.2322
 D64  D(5,12,13,17)       -1.5764       -5.2058      -29.8872
 D65 D(11,12,13,14)       -6.2213       -7.8353      -34.5568
 D66 D(11,12,13,17)      179.2321      178.1613      154.3238
 D67 D(12,13,14,15)     -175.4397     -174.1402     -172.2289
 D68 D(12,13,14,28)        2.0275        2.6010        2.7932
 D69 D(17,13,14,15)       -0.3504        0.4678       -0.3152
 D70 D(17,13,14,28)      177.1168      177.2090      174.7068
 D71 D(12,13,17,16)      175.9028      174.6329      173.4181
 D72 D(12,13,17,19)       -5.5253       -9.0022       -6.4496
 D73 D(14,13,17,16)        0.2256       -0.6307        0.2119
 D74 D(14,13,17,19)      178.7975      175.7341     -179.6558
 D75 D(13,14,15,16)        0.3321       -0.1481        0.2983
 D76 D(13,14,15,40)     -179.9453      179.6357     -179.4657
 D77 D(28,14,15,16)     -177.0654     -176.7895     -174.6709
 D78 D(28,14,15,40)        2.6572        2.9943        5.5651
 D79 D(14,15,16,17)       -0.2019       -0.2470       -0.1712
 D80 D(14,15,16,29)     -179.6790     -179.4637     -179.1319
 D81 D(40,15,16,17)     -179.9320      179.9623      179.5997
 D82 D(40,15,16,29)        0.5909        0.7457        0.6390
 D83 D(14,15,40,41)       20.8340        5.3650        4.5030
 D84 D(14,15,40,42)     -159.0625     -174.5578     -175.3472
 D85 D(16,15,40,41)     -159.4965     -174.8913     -175.2168
 D86 D(16,15,40,42)       20.6070        5.1860        4.9331
 D87 D(15,16,17,13)       -0.0152        0.5439       -0.0234
 D88 D(15,16,17,19)     -178.5832     -175.8198      179.8357
 D89 D(29,16,17,13)      179.5143      179.8465      179.0566
 D90 D(29,16,17,19)        0.9462        3.4829       -1.0843
 D91  D(13,17,19,1)       11.8329       20.7176       37.2865
 D92 D(13,17,19,18)      131.4272      140.2822      155.2235
 D93 D(13,17,19,20)     -106.5079      -98.0773      -80.7712
 D94  D(16,17,19,1)     -169.8421     -163.5129     -142.5554
 D95 D(16,17,19,18)      -50.2478      -43.9484      -24.6184
 D96 D(16,17,19,20)       71.8171       77.6922       99.3869
