optS0 = -1374.17333792
tdS0  = -1374.0785332
optS1 = -1374.08649789
optR1 = -1374.08121667

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D30   D(22,4,5,12)        0.2288       -2.3532       -2.8872
 D31   D(1,5,12,11)      178.9915     -179.2487     -153.6375
 D32   D(1,5,12,13)       -0.3498        4.3429       31.5485
 D33   D(4,5,12,11)       -1.5167        2.7092       35.0999
 D34   D(4,5,12,13)      179.1420     -173.6992     -139.7141
 D35    D(11,6,7,8)       -0.7365       -0.2020        0.8376
 D36   D(11,6,7,24)      179.1423      179.3280     -179.9459
 D37    D(23,6,7,8)     -179.1582     -178.8676     -176.9895
 D38   D(23,6,7,24)        0.7205        0.6624        2.2271
 D39   D(7,6,11,10)        0.4789        0.5164       -3.2429
 D40   D(7,6,11,12)     -179.7952      179.9583     -179.7134
 D41  D(23,6,11,10)      178.9121      179.1911      174.5536
 D42  D(23,6,11,12)       -1.3621       -1.3670       -1.9169
 D43     D(6,7,8,9)        0.2981       -0.1997        1.6914
 D44    D(6,7,8,25)     -179.6364      179.9768     -179.8668
 D45    D(24,7,8,9)     -179.5800     -179.7272     -177.5183
 D46   D(24,7,8,25)        0.4855        0.4493        0.9235
 D47    D(7,8,9,10)        0.3981        0.2768       -1.6943
 D48    D(7,8,9,26)     -179.3859     -179.1087      177.5062
 D49   D(25,8,9,10)     -179.6674     -179.8997      179.8638
 D50   D(25,8,9,26)        0.5485        0.7148       -0.9357
 D51   D(8,9,10,11)       -0.6535        0.0470       -0.8316
 D52   D(8,9,10,27)     -178.8886     -178.0068      176.9977
 D53  D(26,9,10,11)      179.1317      179.4359      179.9610
 D54  D(26,9,10,27)        0.8966        1.3821       -2.2097
 D55   D(9,10,11,6)        0.2150       -0.4389        3.2399
 D56  D(9,10,11,12)     -179.5099     -179.8743      179.7106
 D57  D(27,10,11,6)      178.4611      177.6200     -174.5589
 D58 D(27,10,11,12)       -1.2638       -1.8153        1.9118
 D59   D(6,11,12,5)      128.2174      134.4560     -178.9057
 D60  D(6,11,12,13)      -52.4412      -49.2028       -4.6340
 D61  D(10,11,12,5)      -52.0594      -46.1185        4.7833
 D62 D(10,11,12,13)      127.2819      130.2227      179.0549
 D63  D(5,12,13,14)      173.6421      167.8929      139.7126
 D64  D(5,12,13,17)       -1.3978       -5.9835      -31.5802
 D65 D(11,12,13,14)       -5.7024       -8.5741      -35.1003
 D66 D(11,12,13,17)      179.2578      177.5495      153.6068
 D67 D(12,13,14,15)     -175.8487     -173.9141     -172.6300
 D68 D(12,13,14,28)        1.6143        2.7262        2.8652
 D69 D(17,13,14,15)       -0.3130        0.5858       -0.5574
 D70 D(17,13,14,28)      177.1501      177.2261      174.9378
 D71 D(12,13,17,16)      176.2171      174.4048      173.6504
 D72 D(12,13,17,19)       -4.5196       -9.6448       -5.7496
 D73 D(14,13,17,16)        0.1535       -0.7491        0.3224
 D74 D(14,13,17,19)      179.4168      175.2014     -179.0776
 D75 D(13,14,15,16)        0.3415       -0.2234        0.5738
 D76 D(13,14,15,41)     -179.9786      179.6053     -179.0839
 D77 D(28,14,15,16)     -177.0518     -176.7532     -174.8537
 D78 D(28,14,15,41)        2.6281        3.0755        5.4885
 D79 D(14,15,16,17)       -0.2576       -0.2450       -0.3840
 D80 D(14,15,16,29)     -179.6186     -179.2403     -179.2852
 D81 D(41,15,16,17)     -179.9458      179.9202      179.2837
 D82 D(41,15,16,29)        0.6932        0.9250        0.3826
 D83 D(14,15,41,42)       22.3047        6.4580     -173.6250
 D84 D(14,15,41,43)     -157.6247     -173.4319        6.1594
 D85 D(16,15,41,42)     -158.0764     -173.7445        6.7810
 D86 D(16,15,41,43)       21.9942        6.3656     -173.4347
 D87 D(15,16,17,13)        0.0645        0.6151        0.0408
 D88 D(15,16,17,19)     -179.1990     -175.3089      179.3971
 D89 D(29,16,17,13)      179.4887      179.7187      179.0664
 D90 D(29,16,17,19)        0.2251        3.7947       -1.5773
 D91  D(13,17,19,1)       10.0413       22.4234       37.7023
 D92 D(13,17,19,18)      129.5304      141.8281      155.5289
 D93 D(13,17,19,20)     -108.3724      -96.0437      -80.0370
 D94  D(16,17,19,1)     -170.8214     -162.3073     -141.5770
 D95 D(16,17,19,18)      -51.3323      -42.9026      -23.7504
 D96 D(16,17,19,20)       70.7649       79.2256      100.6837
 D97  D(3,30,31,33)      179.9713      179.9410      179.6060
 D98  D(3,30,31,36)       -1.0620       -0.5384       -0.9450
 D99 D(32,30,31,33)       -0.0739        0.0456       -0.1734
D100 D(32,30,31,36)      178.8928      179.5662      179.2756
D101  D(3,30,32,34)      179.7450     -179.9276     -179.6255
D102  D(3,30,32,37)       -1.2105       -0.5010       -0.1717
D103 D(31,30,32,34)       -0.2097       -0.0329        0.1528
D104 D(31,30,32,37)      178.8348      179.3938      179.6066
D105 D(30,31,33,35)        0.2553       -0.0311        0.0845
D106 D(30,31,33,38)      179.8229      179.8703      179.9132
D107 D(36,31,33,35)     -178.7120     -179.5526     -179.3659
D108 D(36,31,33,38)        0.8556        0.3488        0.4628
D109 D(30,32,34,35)        0.3136        0.0057       -0.0432
D110 D(30,32,34,39)      179.9056      179.8572      179.8464
D111 D(37,32,34,35)     -178.7347     -179.4252     -179.5007
D112 D(37,32,34,39)        0.8573        0.4263        0.3889
D113 D(31,33,35,34)       -0.1521        0.0030        0.0289
D114 D(31,33,35,40)      179.8203     -179.9780      179.9598
D115 D(38,33,35,34)     -179.7176     -179.8981     -179.7990
D116 D(38,33,35,40)        0.2548        0.1210        0.1319
D117 D(32,34,35,33)       -0.1304        0.0097       -0.0495
D118 D(32,34,35,40)      179.8972      179.9906     -179.9804
D119 D(39,34,35,33)     -179.7202     -179.8411     -179.9386
D120 D(39,34,35,40)        0.3074        0.1398        0.1305
D121 D(15,41,42,44)     -179.7381     -179.8799      179.6641
D122 D(15,41,42,47)        1.2883        0.6589        0.1962
D123 D(43,41,42,44)        0.1929        0.0129       -0.1250
D124 D(43,41,42,47)     -178.7807     -179.4483     -179.5929
D125 D(15,41,43,45)     -179.9593      179.8898     -179.6408
D126 D(15,41,43,48)        1.0776        0.4365        0.8984
D127 D(42,41,43,45)        0.1100       -0.0024        0.1492
D128 D(42,41,43,48)     -178.8531     -179.4557     -179.3115
D129 D(41,42,44,46)       -0.3296       -0.0105        0.0313
D130 D(41,42,44,49)     -179.8583     -179.8699     -179.8594
D131 D(47,42,44,46)      178.6435      179.4512      179.5028
D132 D(47,42,44,49)       -0.8852       -0.4081       -0.3878
D133 D(41,43,45,46)       -0.2780       -0.0104       -0.0799
D134 D(41,43,45,50)     -179.8773     -179.8768     -179.9082
D135 D(48,43,45,46)      178.6890      179.4466      179.3823
D136 D(48,43,45,50)       -0.9103       -0.4198       -0.4461
D137 D(42,44,46,45)        0.1600       -0.0025        0.0413
D138 D(42,44,46,51)     -179.7977     -179.9760      179.9762
D139 D(49,44,46,45)      179.6866      179.8563      179.9314
D140 D(49,44,46,51)       -0.2711       -0.1172       -0.1337
D141 D(43,45,46,44)        0.1417        0.0130       -0.0171
D142 D(43,45,46,51)     -179.9006      179.9865     -179.9520
D143 D(50,45,46,44)      179.7389      179.8787      179.8105
D144 D(50,45,46,51)       -0.3034       -0.1477       -0.1243
