optS0 = -1374.1754753
tdS0  = -1374.08066983
optS1 = -1374.0898445
optR1 = -1374.08420143

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A93    A(45,46,51)      120.2376      120.1523      120.1823
  D1     D(5,1,2,3)       -0.1097       -0.7695       -0.0076
  D2    D(5,1,2,21)     -178.4251     -178.7522     -179.0608
  D3    D(19,1,2,3)      171.9269      169.3677     -179.6595
  D4   D(19,1,2,21)       -6.3885       -8.6151        1.2873
  D5     D(2,1,5,4)        0.5820        1.3628       -0.3521
  D6    D(2,1,5,12)     -179.8773     -177.2038     -173.8858
  D7    D(19,1,5,4)     -171.4273     -168.7274      179.3236
  D8   D(19,1,5,12)        8.1133       12.7060        5.7899
  D9   D(2,1,19,17)      177.5648      167.9076      142.1112
 D10   D(2,1,19,18)       58.1598       48.3725       24.0718
 D11   D(2,1,19,20)      -63.6238      -73.3564     -100.1057
 D12   D(5,1,19,17)      -11.7620      -23.5785      -37.4991
 D13   D(5,1,19,18)     -131.1671     -143.1137     -155.5385
 D14   D(5,1,19,20)      107.0494       95.1575       80.2840
 D15     D(1,2,3,4)       -0.4076       -0.1157        0.3610
 D16    D(1,2,3,30)     -179.6797     -179.4073     -179.3651
 D17    D(21,2,3,4)      177.7246      177.6263      179.2950
 D18   D(21,2,3,30)       -1.5474       -1.6653       -0.4311
 D19     D(2,3,4,5)        0.7480        0.9531       -0.5698
 D20    D(2,3,4,22)     -179.8458     -179.9650      174.8743
 D21    D(30,3,4,5)      179.9989     -179.7810      179.1480
 D22   D(30,3,4,22)       -0.5948       -0.6991       -5.4080
 D23   D(2,3,30,31)      158.8295      173.4716      173.3379
 D24   D(2,3,30,32)      -21.1076       -6.6296       -6.8778
 D25   D(4,3,30,31)      -20.2795       -5.6604       -6.3275
 D26   D(4,3,30,32)      159.7834      174.2384      173.4569
 D27     D(3,4,5,1)       -0.8330       -1.4171        0.5723
 D28    D(3,4,5,12)      179.6908      176.9269      172.8870
 D29    D(22,4,5,1)      179.7459      179.4786     -174.9360
 D30   D(22,4,5,12)        0.2697       -2.1775       -2.6213
 D31   D(1,5,12,11)      178.9834     -179.2874     -153.8471
 D32   D(1,5,12,13)       -0.3725        4.2417       31.3259
 D33   D(4,5,12,11)       -1.5977        2.5468       34.5975
 D34   D(4,5,12,13)      179.0464     -173.9241     -140.2294
 D35    D(11,6,7,8)       -0.7487       -0.1743        0.8309
 D36   D(11,6,7,24)      179.1414      179.3810     -179.9113
 D37    D(23,6,7,8)     -179.1471     -178.9160     -177.0382
 D38   D(23,6,7,24)        0.7430        0.6393        2.2196
 D39   D(7,6,11,10)        0.4844        0.4856       -3.2135
