optS0 = -1116.64839179
tdS0  = -1116.54174888
optS1 = -1116.55225399
optR1 = -1116.55023103

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D77 D(22,24,26,27)        0.2104       -0.1076       -1.8695
 D78 D(22,24,26,31)     -179.7524     -179.8991      179.6299
 D79 D(25,24,26,27)     -179.6611     -179.4256      177.4822
 D80 D(25,24,26,31)        0.3761        0.7829       -1.0184
 D81 D(24,26,27,28)     -179.5243     -178.8169     -177.4522
 D82 D(24,26,27,29)        0.2917        0.3414        1.8885
 D83 D(31,26,27,28)        0.4385        0.9746        1.0483
 D84 D(31,26,27,29)     -179.7455     -179.8671     -179.6110
 D85 D(24,26,31,32)        0.0920        1.3392       -0.9552
 D86 D(24,26,31,33)     -179.8875     -178.6633      179.0829
 D87 D(27,26,31,32)     -179.8724     -178.4595     -179.4966
 D88 D(27,26,31,33)        0.1481        1.5380        0.5414
 D89 D(26,27,29,21)       -0.4799       -0.1443        0.6689
 D90 D(26,27,29,30)     -179.0829     -177.6342     -177.4178
 D91 D(28,27,29,21)      179.3330      179.0000      179.9998
 D92 D(28,27,29,30)        0.7300        1.5101        1.9131
