optS0 = -1116.6489016
tdS0  = -1116.54285542
optS1 = -1116.55322977
optR1 = -1116.5510416

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D79 D(25,24,26,27)     -179.6629     -179.4291      177.4889
 D80 D(25,24,26,31)        0.3734        0.7753       -1.0112
 D81 D(24,26,27,28)     -179.5272     -178.8312     -177.4577
 D82 D(24,26,27,29)        0.2922        0.3302        1.8838
 D83 D(31,26,27,28)        0.4364        0.9644        1.0423
 D84 D(31,26,27,29)     -179.7442     -179.8742     -179.6162
 D85 D(24,26,31,32)        0.0699        1.3372       -0.9537
 D86 D(24,26,31,33)     -179.9090     -178.6651      179.0815
 D87 D(27,26,31,32)     -179.8953     -178.4654     -179.4946
 D88 D(27,26,31,33)        0.1258        1.5323        0.5406
 D89 D(26,27,29,21)       -0.4815       -0.1338        0.6755
 D90 D(26,27,29,30)     -179.0843     -177.6579     -177.4093
 D91 D(28,27,29,21)      179.3350      179.0139     -179.9924
 D92 D(28,27,29,30)        0.7322        1.4898        1.9228
